Time,Favorites,Retweets,Compound,Negative,Positive,Neutral,Open,High,Low,Close,Volume,Funding Rate 0000,Funding Rate 0800,Funding Rate 1600,Bitcoin_SVI,Cryptocurrency_SVI,No. of Active Addresses,No. of Unique Addresses,Transactions
20211121.0,1753.3333333333333,235.0,0.6235666666666667,0.0,0.15833333333333333,0.8416666666666667,59707.4,60039.0,58500.1,58595.3,308717788.9,0.01,0.01,0.01,12.96,44.61,842004.0,586185.0,222949.0
20211120.0,1704.6666666666667,253.33333333333334,0.16463333333333333,0.0,0.03233333333333333,0.9676666666666667,58049.2,59850.0,57355.0,59707.4,310644998.4,0.01,0.01,0.01,13.02,39.73,848464.0,634393.0,249652.0
20211119.0,6836.25,1147.25,0.260025,0.0445,0.123,0.8325,56877.8,58331.0,55600.0,58048.5,417030063.7,0.01,0.01,0.01,16.28,38.55,976682.0,713194.0,284719.0
20211118.0,1343.2857142857142,149.42857142857142,0.4893571428571429,0.019714285714285715,0.13914285714285715,0.8411428571428571,60345.0,60951.2,56473.3,56877.7,622911867.5,0.01,0.01,0.01,15.98,45.07,990087.0,725020.0,293867.0
20211117.0,349.0,37.5,0.68775,0.0,0.27949999999999997,0.7204999999999999,60060.8,60822.7,58358.6,60345.0,527388313.7,0.01,0.01,0.01,15.39,43.88,993545.0,708703.0,290390.0
20211116.0,1800.1666666666667,210.33333333333334,0.49298333333333333,0.0,0.1765,0.8235,63610.4,63613.5,58557.5,60060.8,778068482.2,0.04,0.04,0.01,17.46,45.66,1030573.0,740829.0,301103.0
20211115.0,1026.0,156.0,0.07797499999999999,0.034,0.10525,0.86075,65505.1,66361.0,63368.0,63611.8,383210071.3,0.01,0.02,0.02,13.62,39.73,1083387.0,708944.0,288435.0
20211114.0,1789.0,168.0,0.1779,0.0,0.046,0.954,64370.6,65511.1,63569.8,65505.2,267874693.4,0.02,0.01,0.01,13.02,41.51,806451.0,582647.0,224016.0
20211113.0,636.0,96.0,0.0,0.0,0.0,1.0,64134.1,64963.5,63369.3,64370.6,200216587.9,0.04,0.02,0.03,15.48,39.14,828248.0,628022.0,238634.0
20211112.0,1742.4,235.4,-0.007739999999999992,0.0874,0.0624,0.8502000000000001,64770.9,65472.7,62263.9,64134.1,478645588.0,0.02,0.02,0.04,16.92,39.14,975353.0,697196.0,282049.0
20211111.0,143.5,9.0,0.3406,0.0,0.09,0.9099999999999999,64892.2,65589.9,64109.1,64769.2,355460152.1,0.06,0.02,0.01,18.0,39.73,1037951.0,724206.0,293665.0
20211110.0,1124.0,152.83333333333334,0.333,0.020166666666666666,0.1195,0.8603333333333333,66943.0,69028.0,62540.0,64892.2,608460351.2,0.07,0.04,0.07,20.88,46.85,1022756.0,743397.0,301025.0
20211109.0,1123.2,116.0,0.28678,0.0164,0.133,0.8506,67509.4,68500.1,66171.6,66941.7,444215755.0,0.05,0.04,0.04,21.96,45.66,1195638.0,796734.0,335411.0
20211108.0,1070.8,228.6,0.30586,0.0,0.1092,0.8907999999999999,63267.9,67795.7,63267.9,67509.5,583849967.4,0.04,0.03,0.05,19.44,43.29,1018796.0,707131.0,285806.0
20211107.0,3295.3333333333335,390.3333333333333,0.5999666666666666,0.011333333333333334,0.27266666666666667,0.7159999999999999,61467.1,63277.2,61326.7,63264.8,301402150.1,0.04,0.02,0.04,13.32,41.51,826432.0,591980.0,226128.0
20211106.0,13558.5,1030.0,0.55135,0.0,0.1365,0.8635,60947.7,61555.0,60050.0,61467.1,260493501.9,0.04,0.05,0.05,9.8,41.68,825483.0,623103.0,236233.0
20211105.0,116.0,41.0,0.852,0.0,0.368,0.632,61401.9,62604.0,60730.0,60947.9,317153935.3,0.05,0.02,0.02,11.16,43.49,1037437.0,721315.0,285946.0
20211104.0,1540.3333333333333,221.33333333333334,0.15571666666666667,0.07783333333333334,0.15316666666666665,0.769,62893.9,63086.9,60700.0,61401.9,386571709.0,0.03,0.05,0.05,11.98,47.12,998917.0,729141.0,289141.0
20211103.0,1417.3333333333333,237.0,0.3328,0.0,0.10733333333333334,0.8926666666666666,63221.9,63506.8,60400.0,62894.0,450449274.4,0.05,0.08,0.04,11.7,48.33,1069212.0,724143.0,288746.0
20211102.0,1930.9770429159316,245.61360964138743,0.33069542915931804,0.01409620811287478,0.12518903586125807,0.8607054967666079,60898.0,64281.4,60635.0,63221.9,495641463.2,0.06,0.02,0.03,12.52,60.41,1035030.0,736296.0,297402.0
20211101.0,1930.9770429159316,245.61360964138743,0.33069542915931804,0.01409620811287478,0.12518903586125807,0.8607054967666079,61293.9,62440.6,59381.2,60897.5,489592233.2,0.04,0.03,0.03,11.7,56.18,1053426.0,732119.0,293282.0
20211031.0,196.0,9.0,0.0,0.0,0.0,1.0,61855.9,62397.0,59964.0,61293.6,408215639.5,0.02,0.02,0.05,11.16,48.33,893617.0,574308.0,217435.0
20211030.0,2672.116666666667,532.5999999999999,0.16159555555555555,0.04248888888888889,0.09638333333333333,0.8611166666666666,62253.2,62368.0,60644.0,61855.9,298289856.7,0.02,0.02,0.04,11.66,67.25,906672.0,666759.0,252061.0
20211029.0,2672.116666666667,532.5999999999999,0.16159555555555555,0.04248888888888889,0.09638333333333333,0.8611166666666666,60590.7,62961.9,60193.0,62253.3,472894245.6,0.01,0.02,0.02,13.6,66.44,1014855.0,758210.0,305733.0
20211028.0,975.1666666666666,136.33333333333334,0.27881666666666666,0.08083333333333333,0.1255,0.7935,58408.2,62509.0,57820.0,60590.7,692607986.7,0.02,0.02,0.01,14.71,72.11,1055114.0,749957.0,295558.0
