Time,Compound,Close,Volume,FundingRate,Bitcoin_SVI,Cryptocurrency_SVI,No. of Active Addresses,No. of Unique Addresses,Transactions,Close_mean,Close_std
2021-06-08 00:00:00,0.3289375,33379.8,358886482.9,0.006666666666666667,24.45,29.37,998834,656191.0,246906.0,34957.56666666667,1218.6006332403538
2021-06-09 00:00:00,0.3289375,37377.0,343432220.2,0.0033333333333333335,22.06,22.95,817282,581779.0,210911.0,34245.96666666667,1347.2031856159879
2021-06-10 00:00:00,0.3289375,36673.0,294611922.5,-0.006666666666666667,19.68,22.95,948298,679752.0,252983.0,34772.26666666667,2257.5639112401273
2021-06-11 00:00:00,0.3289375,37337.6,209651638.4,0.006666666666666667,17.29,21.11,874050,616007.0,216502.0,35809.93333333334,2133.7912300254943
2021-06-12 00:00:00,0.3289375,35573.4,219888857.2,0.0,14.31,21.11,1013611,584529.0,222774.0,37129.200000000004,395.57163700173936
2021-06-13 00:00:00,0.3289375,39018.7,291833418.8,0.0033333333333333335,14.76,21.68,799859,480484.0,187098.0,36528.0,890.993355755423
2021-06-14 00:00:00,0.7876,40543.0,390847958.3,0.0033333333333333335,18.89,22.67,972587,624698.0,242416.0,37309.9,1722.8170216248152
2021-06-15 00:00:00,0.2969,40156.7,300509566.4,0.006666666666666667,15.35,21.68,963054,677276.0,241861.0,38378.36666666667,2545.9283421442533
2021-06-16 00:00:00,0.3289375,38347.2,313057464.0,0.01,14.17,21.68,954838,651528.0,252937.0,39906.13333333334,792.4395013710445
2021-06-17 00:00:00,0.3289375,38091.2,300356565.4,0.01,13.58,21.68,865333,601894.0,237725.0,39682.3,1172.2525026630926
2021-06-18 00:00:00,0.3289375,35823.0,265798131.1,0.006666666666666667,12.99,20.7,825241,567037.0,222918.0,38865.03333333333,1125.9156643964552
2021-06-19 00:00:00,0.3289375,35478.5,200080223.6,-0.0033333333333333335,12.4,20.7,688095,489074.0,187042.0,37420.46666666667,1389.3555388501084
2021-06-20 00:00:00,0.3289375,35600.5,247106949.7,0.01,17.28,22.92,652470,441204.0,167249.0,36464.23333333334,1419.4842244046208
2021-06-21 00:00:00,0.3289375,31614.1,447895035.2,-0.0033333333333333335,25.92,29.18,835557,549345.0,205050.0,35634.0,174.67612887958975
2021-06-22 00:00:00,0.3289375,32505.1,456701075.8,0.0,33.77,34.39,776432,550948.0,196523.0,34231.03333333333,2267.1515285339565
2021-06-23 00:00:00,0.6249,33675.0,329515574.3,-0.013333333333333334,25.13,21.88,847730,598493.0,232704.0,33239.9,2092.317977746363
2021-06-24 00:00:00,-0.5579,34657.9,213058141.8,-0.006666666666666667,21.21,20.84,843836,594998.0,233278.0,32598.06666666667,1033.5904911201706
2021-06-25 00:00:00,0.3289375,31588.1,286526052.1,-0.0033333333333333335,20.42,20.84,880813,564091.0,218245.0,33612.666666666664,1077.7527746816115
2021-06-26 00:00:00,0.3289375,32283.7,257996506.2,-0.0033333333333333335,19.64,19.8,715801,490112.0,181628.0,33307.0,1567.6370785359159
2021-06-27 00:00:00,0.3289375,34704.4,205535768.1,-0.02666666666666667,12.96,17.35,518219,379066.0,124640.0,32843.23333333334,1609.57328920867
2021-06-28 00:00:00,0.9117,34490.7,222031983.5,-0.01,14.09,18.31,776365,580308.0,217898.0,32858.73333333334,1635.796113008591
2021-06-29 00:00:00,0.8268,35908.9,220229621.6,0.01,14.09,18.31,792995,566351.0,205616.0,33826.26666666666,1340.1682220280663
2021-06-30 00:00:00,0.3289375,35045.4,200265522.0,0.006666666666666667,12.4,17.35,790273,567655.0,218734.0,35034.666666666664,764.6109228448822
2021-07-01 00:00:00,0.29323125,33500.1,197113094.5,0.01,11.27,16.38,817115,609509.0,230253.0,35148.333333333336,714.6812319724693
2021-07-02 00:00:00,0.29323125,33791.4,160305767.2,0.01,11.27,14.46,809016,532456.0,188568.0,34818.13333333334,1220.3757467820076
2021-07-03 00:00:00,0.29323125,34675.2,112243766.7,-0.006666666666666667,10.71,14.46,1027108,583136.0,237463.0,34112.299999999996,821.1093897895269
2021-07-04 00:00:00,0.29323125,35273.7,103698865.6,-0.006666666666666667,10.44,16.11,843475,467442.0,171850.0,33988.9,611.9392862045611
